Importance,Category,Task
86,Core,"Clean and sanitize work areas, equipment, utensils, dishes, or silverware."
85,Core,Store food in designated containers and storage areas to prevent spoilage.
82,Core,"Prepare a variety of foods, such as meats, vegetables, desserts, according to customers' orders or supervisors' instructions, following approved procedures."
79,Core,Take and record temperature of food and food storage areas such as refrigerators and freezers.
77,Core,"Wash, peel, and cut various foods, such as fruits and vegetables, to prepare for cooking or serving."
77,Core,"Place food trays over food warmers for immediate service, or store them in refrigerated storage cabinets."
76,Core,"Portion and wrap the food, or place it directly on plates for service to patrons."
76,Core,Weigh or measure ingredients.
75,Core,"Mix ingredients for green salads, molded fruit salads, vegetable salads, and pasta salads."
73,Core,"Receive and store food supplies, equipment, and utensils in refrigerators, cupboards, and other storage areas."
72,Core,Remove trash and clean kitchen garbage containers.
72,Core,"Assist cooks and kitchen staff with various tasks as needed, and provide cooks with needed items."
72,Core,"Carry food supplies, equipment, and utensils to and from storage and work areas."
67,Core,"Use manual or electric appliances to clean, peel, slice, and trim foods."
67,Core,"Inform supervisors when equipment is not working properly and when food and supplies are getting low, and order needed items."
63,Core,Make special dressings and sauces as condiments for sandwiches.
57,Core,Stir and strain soups and sauces.
83,Supplemental,"Butcher and clean fowl, fish, poultry, and shellfish to prepare for cooking or serving."
79,Supplemental,Keep records of the quantities of food used.
74,Supplemental,"Load dishes, glasses, and tableware into dishwashing machines."
71,Supplemental,Distribute food to waiters and waitresses to serve to customers.
70,Supplemental,"Operate cash register, handle money, and give correct change."
69,Supplemental,"Cut, slice or grind meat, poultry, and seafood to prepare for cooking."
67,Supplemental,"Distribute menus to hospital patients, collect diet sheets, and deliver food trays and snacks to nursing units or directly to patients."
67,Supplemental,"Stock cupboards and refrigerators, and tend salad bars and buffet meals."
67,Supplemental,"Work on assembly lines adding cutlery, napkins, food, and other items to trays in hospitals, cafeterias, airline kitchens, and similar establishments."
64,Supplemental,Package take-out foods or serve food to customers.
64,Supplemental,"Prepare and serve a variety of beverages such as coffee, tea, and soft drinks."
61,Supplemental,Vacuum dining area and sweep and mop kitchen floor.
57,Supplemental,Scrape leftovers from dishes into garbage containers.
