Importance,Category,Task
91,Core,Resolve customer complaints regarding problems such as payout errors.
88,Core,"Remove suspected cheaters, such as card counters or other players who may have systems that shift the odds of winning to their favor."
87,Core,"Maintain familiarity with all games used at a facility, as well as strategies or tricks employed in those games."
85,Core,Train new workers or evaluate their performance.
83,Core,"Circulate among gaming tables to ensure that operations are conducted properly, that dealers follow house rules, or that players are not cheating."
79,Core,"Explain and interpret house rules, such as game rules or betting limits."
77,Core,"Monitor staffing levels to ensure that games and tables are adequately staffed for each shift, arranging for staff rotations and breaks and locating substitute employees as necessary."
72,Core,Interview and hire workers.
71,Core,Prepare work schedules and station arrangements and keep attendance records.
70,Core,"Direct the distribution of complimentary hotel rooms, meals, or other discounts or free items given to players, based on their length of play and betting totals."
66,Core,"Establish policies on issues such as the type of gambling offered and the odds, the extension of credit, or the serving of food and beverages."
79,Supplemental,Track supplies of money to tables and perform any required paperwork.
77,Supplemental,Set and maintain a bank and table limit for each game.
74,Supplemental,Monitor credit extended to players.
71,Supplemental,"Review operational expenses, budget estimates, betting accounts, or collection reports for accuracy."
67,Supplemental,"Record, collect, or pay off bets, issuing receipts as necessary."
66,Supplemental,Direct the compilation of summary sheets that show wager amounts and payoffs for races or events.
55,Supplemental,Notify board attendants of table vacancies so that waiting patrons can play.
