Importance,Ability,Ability Description
63,Oral Comprehension,The ability to listen to and understand information and ideas presented through spoken words and sentences.
63,Oral Expression,The ability to communicate information and ideas in speaking so others will understand.
56,Problem Sensitivity,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
56,Near Vision,The ability to see details at close range (within a few feet of the observer).
56,Speech Recognition,The ability to identify and understand the speech of another person.
56,Speech Clarity,The ability to speak clearly so others can understand you.
53,Information Ordering,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
53,Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.
53,Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly."
53,Selective Attention,The ability to concentrate on a task over a period of time without being distracted.
50,Written Comprehension,The ability to read and understand information and ideas presented in writing.
50,Finger Dexterity,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects."
50,Far Vision,The ability to see details at a distance.
47,Deductive Reasoning,The ability to apply general rules to specific problems to produce answers that make sense.
47,Inductive Reasoning,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
47,Perceptual Speed,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."
47,Arm-Hand Steadiness,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.
47,Manual Dexterity,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects."
47,Auditory Attention,The ability to focus on a single source of sound in the presence of other distracting sounds.
44,Written Expression,The ability to communicate information and ideas in writing so others will understand.
44,Category Flexibility,The ability to generate or use different sets of rules for combining or grouping things in different ways.
44,Flexibility of Closure,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
44,Hearing Sensitivity,The ability to detect or tell the differences between sounds that vary in pitch and loudness.
38,Time Sharing,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources)."
38,Trunk Strength,The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without 'giving out' or fatiguing.
35,Visual Color Discrimination,"The ability to match or detect differences between colors, including shades of color and brightness."
31,Speed of Closure,"The ability to quickly make sense of, combine, and organize information into meaningful patterns."
31,Control Precision,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.
28,Visualization,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
28,Multilimb Coordination,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion."
28,Wrist-Finger Speed,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists."
28,Speed of Limb Movement,The ability to quickly move the arms and legs.
28,Extent Flexibility,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs."
25,Fluency of Ideas,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
25,Memorization,"The ability to remember information such as words, numbers, pictures, and procedures."
25,Response Orientation,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part."
25,Static Strength,"The ability to exert maximum muscle force to lift, push, pull, or carry objects."
25,Stamina,The ability to exert yourself physically over long periods of time without getting winded or out of breath.
25,Gross Body Coordination,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion."
25,Depth Perception,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object."
22,Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
22,Reaction Time,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears."
22,Dynamic Strength,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.
16,Rate Control,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.
16,Sound Localization,The ability to tell the direction from which a sound originated.
13,Gross Body Equilibrium,The ability to keep or regain your body balance or stay upright when in an unstable position.
10,Spatial Orientation,The ability to know your location in relation to the environment or to know where other objects are in relation to you.
0,Explosive Strength,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object."
0,Dynamic Flexibility,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs."
0,Night Vision,The ability to see under low light conditions.
0,Peripheral Vision,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.
0,Glare Sensitivity,The ability to see objects in the presence of glare or bright lighting.
