Importance,Category,Task
93,Core,"Maintain sanitation, health, and safety standards in work areas."
91,Core,"Clean food preparation areas, cooking surfaces, and utensils."
90,Core,Verify that prepared food meets requirements for quality and quantity.
88,Core,"Cook and package batches of food, such as hamburgers and fried chicken, which are prepared to order or kept warm until sold."
87,Core,"Prepare specialty foods such as pizzas, fish and chips, sandwiches, and tacos, following specific methods that usually require short preparation time."
86,Core,"Operate large-volume cooking equipment such as grills, deep-fat fryers, or griddles."
86,Core,"Read food order slips or receive verbal instructions as to food required by patron, and prepare and cook food according to instructions."
85,Core,Measure ingredients required for specific food items being prepared.
85,Core,Take food and drink orders and receive payment from customers.
82,Core,"Clean, stock, and restock workstations and display cases."
81,Core,"Cook the exact number of items ordered by each customer, working on several different orders simultaneously."
81,Core,"Wash, cut, and prepare foods designated for cooking."
80,Core,"Serve orders to customers at windows, counters, or tables."
77,Core,Prepare and serve beverages such as coffee and fountain drinks.
76,Core,"Pre-cook items such as bacon, to prepare them for later use."
75,Supplemental,Mix ingredients such as pancake or waffle batters.
73,Supplemental,"Schedule activities and equipment use with managers, using information about daily menus to help coordinate cooking times."
70,Supplemental,"Prepare dough, following recipe."
67,Supplemental,Order and take delivery of supplies.
