Importance,Category,Task
87,Core,"Train workers in food preparation, and in service, sanitation, and safety procedures."
84,Core,Compile and balance cash receipts at the end of the day or shift.
82,Core,"Perform various financial activities such as cash handling, deposit preparation, and payroll."
81,Core,Supervise and participate in kitchen and dining area cleaning activities.
80,Core,Estimate ingredients and supplies required to prepare a recipe.
79,Core,Resolve customer complaints regarding food service.
78,Core,"Control inventories of food, equipment, smallware, and liquor, and report shortages to designated personnel."
78,Core,Purchase or requisition supplies and equipment needed to ensure quality and timely delivery of services.
78,Core,"Observe and evaluate workers and work procedures to ensure quality standards and service, and complete disciplinary write-ups."
78,Core,"Specify food portions and courses, production and time sequences, and workstation and equipment arrangements."
77,Core,"Forecast staff, equipment, and supply requirements based on a master menu."
77,Core,"Inspect supplies, equipment, and work areas to ensure efficient service and conformance to standards."
75,Core,"Assign duties, responsibilities, and work stations to employees in accordance with work requirements."
73,Core,"Analyze operational problems, such as theft and wastage, and establish procedures to alleviate these problems."
73,Core,"Perform personnel actions, such as hiring and firing staff, providing employee orientation and training, and conducting supervisory activities, such as creating work schedules or organizing employee time sheets."
72,Core,Recommend measures for improving work procedures and worker performance to increase service quality and enhance job safety.
72,Core,"Perform food preparation and serving duties, such as carving meat, preparing flambe dishes, or serving wine and liquor."
72,Core,"Record production, operational, and personnel data on specified forms."
66,Core,Develop equipment maintenance schedules and arrange for repairs.
59,Core,Evaluate new products for usefulness and suitability.
85,Supplemental,"Greet and seat guests, and present menus and wine lists."
79,Supplemental,Schedule parties and take reservations.
74,Supplemental,Present bills and accept payments.
72,Supplemental,"Conduct meetings and collaborate with other personnel to plan menus, serving arrangements, and related details."
67,Supplemental,"Assess nutritional needs of patients, plan special menus, supervise the assembly of regular and special diet trays, and oversee the delivery of food trolleys to hospital patients."
65,Supplemental,"Develop departmental objectives, budgets, policies, procedures, and strategies."
