Importance,Category,Task
87,Core,"Monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise."
87,Core,Confer with staff at a chosen event site to coordinate details.
87,Core,Inspect event facilities to ensure that they conform to customer requirements.
86,Core,"Coordinate services for events, such as accommodation and transportation for participants, facilities, catering, signage, displays, special needs requirements, printing and event security."
82,Core,"Consult with customers to determine objectives and requirements for events such as meetings, conferences, and conventions."
80,Core,"Meet with sponsors and organizing committees to plan scope and format of events, to establish and monitor budgets, or to review administrative procedures and event progress."
80,Core,"Review event bills for accuracy, and approve payment."
77,Core,Evaluate and select providers of services according to customer requirements.
71,Core,"Arrange the availability of audio-visual equipment, transportation, displays, and other event needs."
68,Core,"Plan and develop programs, agendas, budgets, and services according to customer requirements."
60,Core,"Negotiate contracts with such service providers and suppliers as hotels, convention centers, and speakers."
59,Core,"Maintain records of event aspects, including financial details."
56,Core,Conduct post-event evaluations to determine how future events could be improved.
86,Supplemental,Organize registration of event participants.
67,Supplemental,"Hire, train, and supervise volunteers and support staff required for events."
48,Supplemental,"Read trade publications, attend seminars, and consult with other meeting professionals to keep abreast of meeting management standards and trends."
47,Supplemental,"Direct administrative details such as financial operations, dissemination of promotional materials, and responses to inquiries."
33,Supplemental,"Promote conference, convention and trades show services by performing tasks such as meeting with professional and trade associations, and producing brochures and other publications."
33,Supplemental,Develop event topics and choose featured speakers.
30,Supplemental,Obtain permits from fire and health departments to erect displays and exhibits and serve food at events.
25,Supplemental,Design and implement efforts to publicize events and promote sponsorships.
