Importance,Category,Task
93,Core,Check the quality of raw or cooked food products to ensure that standards are met.
90,Core,Monitor sanitation practices to ensure that employees follow standards and regulations.
85,Core,Check the quantity and quality of received products.
82,Core,Order or requisition food or other supplies needed to ensure efficient operation.
81,Core,Supervise or coordinate activities of cooks or workers engaged in food preparation.
81,Core,"Inspect supplies, equipment, or work areas to ensure conformance to established standards."
78,Core,Determine how food should be presented and create decorative food displays.
77,Core,"Instruct cooks or other workers in the preparation, cooking, garnishing, or presentation of food."
77,Core,"Estimate amounts and costs of required supplies, such as food and ingredients."
74,Core,"Collaborate with other personnel to plan and develop recipes or menus, taking into account such factors as seasonal availability of ingredients or the likely number of customers."
74,Core,"Analyze recipes to assign prices to menu items, based on food, labor, and overhead costs."
73,Core,"Prepare and cook foods of all types, either on a regular basis or for special guests or functions."
71,Core,Determine production schedules and staff requirements necessary to ensure timely delivery of services.
70,Core,"Recruit and hire staff, such as cooks and other kitchen workers."
70,Core,"Meet with customers to discuss menus for special occasions, such as weddings, parties, or banquets."
67,Core,Demonstrate new cooking techniques or equipment to staff.
65,Core,Meet with sales representatives to negotiate prices or order supplies.
63,Core,Arrange for equipment purchases or repairs.
75,Supplemental,Record production or operational data on specified forms.
75,Supplemental,"Plan, direct, or supervise the food preparation or cooking activities of multiple kitchens or restaurants in an establishment such as a restaurant chain, hospital, or hotel."
69,Supplemental,"Coordinate planning, budgeting, or purchasing for all the food operations within establishments such as clubs, hotels, or restaurant chains."
