Importance,Category,Task
89,Core,"Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities."
87,Core,"Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner."
87,Core,Count money and make bank deposits.
86,Core,"Investigate and resolve complaints regarding food quality, service, or accommodations."
85,Core,Coordinate assignments of cooking personnel to ensure economical use of food and timely preparation.
84,Core,"Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity."
84,Core,"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted."
82,Core,"Maintain food and equipment inventories, and keep inventory records."
82,Core,Schedule staff hours and assign duties.
81,Core,Establish standards for personnel performance and customer service.
80,Core,"Perform some food preparation or service tasks such as cooking, clearing tables, and serving food and drinks when necessary."
80,Core,"Plan menus and food utilization based on anticipated number of guests, nutritional value, palatability, popularity, and costs."
79,Core,"Keep records required by government agencies regarding sanitation, and food subsidies when appropriate."
79,Core,Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.
79,Core,"Organize and direct worker training programs, resolve personnel problems, hire new staff, and evaluate employee performance in dining and lodging facilities."
77,Core,Order and purchase equipment and supplies.
77,Core,"Review work procedures and operational problems to determine ways to improve service, performance, or safety."
76,Core,"Assess staffing needs, and recruit staff using methods such as newspaper advertisements or attendance at job fairs."
71,Core,"Arrange for equipment maintenance and repairs, and coordinate a variety of services such as waste removal and pest control."
71,Core,"Record the number, type, and cost of items sold to determine which items may be unpopular or less profitable."
71,Core,"Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items."
89,Supplemental,Monitor employee and patron activities to ensure liquor regulations are obeyed.
89,Supplemental,"Greet guests, escort them to their seats, and present them with menus and wine lists."
80,Supplemental,"Schedule use of facilities or catering services for events such as banquets or receptions, and negotiate details of arrangements with clients."
76,Supplemental,"Estimate food, liquor, wine, and other beverage consumption to anticipate amounts to be purchased or requisitioned."
72,Supplemental,Create specialty dishes and develop recipes to be used in dining facilities.
68,Supplemental,Establish and enforce nutritional standards for dining establishments based on accepted industry standards.
65,Supplemental,Take dining reservations.
