Importance,Category,Task
81,Core,Plan and prepare employee work schedules.
80,Core,Coordinate activities with other departments to ensure that services are provided in an efficient and timely manner.
80,Core,Inspect work performed to ensure that it meets specifications and established standards.
78,Core,Perform or assist with cleaning duties as necessary.
77,Core,"Confer with staff to resolve performance and personnel problems, and to discuss company policies."
77,Core,Establish and implement operational standards and procedures for the departments supervised.
77,Core,"Investigate complaints about service and equipment, and take corrective action."
76,Core,"Maintain required records of work hours, budgets, payrolls, and other information."
76,Core,Inspect and evaluate the physical condition of facilities to determine the type of work required.
76,Core,Check and maintain equipment to ensure that it is in working order.
74,Core,"Instruct staff in work policies and procedures, and the use and maintenance of equipment."
74,Core,Inventory stock to ensure that supplies and equipment are available in adequate amounts.
73,Core,"Select and order or purchase new equipment, supplies, or furnishings."
73,Core,"Prepare reports on activity, personnel, and information such as occupancy, hours worked, facility usage, work performed, and departmental expenses."
73,Core,Recommend changes that could improve service and increase operational efficiency.
73,Core,"Select the most suitable cleaning materials for different types of linens, furniture, flooring, and surfaces."
73,Core,"Screen job applicants, and hire new employees."
73,Core,Issue supplies and equipment to workers.
73,Core,"Recommend or arrange for additional services, such as painting, repair work, renovations, and the replacement of furnishings and equipment."
72,Core,Forecast necessary levels of staffing and stock at different times to facilitate effective scheduling and ordering.
69,Core,"Evaluate employee performance and recommend personnel actions such as promotions, transfers, and dismissals."
89,Supplemental,Direct activities for stopping the spread of infections in facilities such as hospitals.
82,Supplemental,"Advise managers, desk clerks, or admitting personnel of rooms ready for occupancy."
75,Supplemental,"Supervise in-house services such as laundries, maintenance and repair, dry cleaning, or valet services."
72,Supplemental,"Perform financial tasks, such as estimating costs and preparing and managing budgets."
62,Supplemental,"Perform grounds maintenance tasks, such as removing snow and mowing the lawn."
