Importance,Category,Task
81,Core,"Observe color of products being baked and adjust oven temperatures, humidity, or conveyor speeds accordingly."
80,Core,Set oven temperatures and place items into hot ovens for baking.
78,Core,"Combine measured ingredients in bowls of mixing, blending, or cooking machinery."
78,Core,"Measure or weigh flour or other ingredients to prepare batters, doughs, fillings, or icings, using scales or graduated containers."
77,Core,"Roll, knead, cut, or shape dough to form sweet rolls, pie crusts, tarts, cookies, or other products."
76,Core,"Place dough in pans, molds, or on sheets and bake in production ovens or on grills."
76,Core,Check the quality of raw materials to ensure that standards and specifications are met.
76,Core,Adapt the quantity of ingredients to match the amount of items to be baked.
75,Core,"Apply glazes, icings, or other toppings to baked goods, using spatulas or brushes."
75,Core,"Check equipment to ensure that it meets health and safety regulations and perform maintenance or cleaning, as necessary."
75,Core,"Decorate baked goods, such as cakes or pastries."
74,Core,"Set time and speed controls for mixing machines, blending machines, or steam kettles so that ingredients will be mixed or cooked according to instructions."
73,Core,Prepare or maintain inventory or production records.
71,Core,Direct or coordinate bakery deliveries.
65,Core,Order or receive supplies or equipment.
56,Supplemental,Operate slicing or wrapping machines.
55,Supplemental,Develop new recipes for baked goods.
