Importance,Category,Task
86,Core,"Receive and mark articles for laundry or dry cleaning with identifying code numbers or names, using hand or machine markers."
84,Core,"Start washers, dry cleaners, driers, or extractors, and turn valves or levers to regulate machine processes and the volume of soap, detergent, water, bleach, starch, and other additives."
83,Core,"Sort and count articles removed from dryers, and fold, wrap, or hang them."
82,Core,"Examine and sort into lots articles to be cleaned, according to color, fabric, dirt content, and cleaning technique required."
81,Core,"Load articles into washers or dry-cleaning machines, or direct other workers to perform loading."
80,Core,"Mix and add detergents, dyes, bleaches, starches, and other solutions and chemicals to clean, color, dry, or stiffen articles."
80,Core,"Clean machine filters, and lubricate equipment."
80,Core,"Remove items from washers or dry-cleaning machines, or direct other workers to do so."
79,Core,"Operate extractors and driers, or direct their operation."
75,Core,"Inspect soiled articles to determine sources of stains, to locate color imperfections, and to identify items requiring special treatment."
74,Core,"Determine spotting procedures and proper solvents, based on fabric and stain types."
96,Supplemental,"Spray steam, water, or air over spots to flush out chemicals, dry material, raise naps, or brighten colors."
87,Supplemental,Operate dry-cleaning machines to clean soiled articles.
86,Supplemental,Test fabrics in inconspicuous places to determine whether solvents will damage dyes or fabrics.
81,Supplemental,"Pre-soak, sterilize, scrub, spot-clean, and dry contaminated or stained articles, using neutralizer solutions and portable machines."
80,Supplemental,Start pumps to operate distilling systems that drain and reclaim dry cleaning solvents.
79,Supplemental,"Spread soiled articles on work tables, and position stained portions over vacuum heads or on marble slabs."
77,Supplemental,"Sprinkle chemical solvents over stains, and pat areas with brushes or sponges to remove stains."
75,Supplemental,Apply bleaching powders to spots and spray them with steam to remove stains from fabrics that do not respond to other cleaning solvents.
75,Supplemental,"Mix bleaching agents with hot water in vats, and soak material until it is bleached."
75,Supplemental,"Match sample colors, applying knowledge of bleaching agent and dye properties, and types, construction, conditions, and colors of articles."
73,Supplemental,Apply chemicals to neutralize the effects of solvents.
73,Supplemental,"Identify articles' fabrics and original dyes by sight and touch, or by testing samples with fire or chemical reagents."
73,Supplemental,"Dye articles to change or restore their colors, using knowledge of textile compositions and the properties and effects of bleaches and dyes."
69,Supplemental,"Iron or press articles, fabrics, and furs, using hand irons or pressing machines."
69,Supplemental,"Hang curtains, drapes, blankets, pants, and other garments on stretch frames to dry."
68,Supplemental,"Wash, dry-clean, or glaze delicate articles or fur garment linings by hand, using mild detergents or dry cleaning solutions."
67,Supplemental,Rinse articles in water and acetic acid solutions to remove excess dye and to fix colors.
65,Supplemental,"Mend and sew articles, using hand stitching, adhesive patches, or sewing machines."
61,Supplemental,Immerse articles in bleaching baths to strip colors.
58,Supplemental,"Clean fabrics, using vacuums or air hoses."
Not available,Supplemental,"Operate machines that comb, dry and polish furs, clean, sterilize and fluff feathers and blankets, or roll and package towels."
