Importance,Category,Task
91,Core,"Inspect guest rooms, public areas, and grounds for cleanliness and appearance."
90,Core,Greet and register guests.
88,Core,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."
86,Core,Monitor the revenue activity of the hotel or facility.
85,Core,Train staff members.
84,Core,Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures.
82,Core,"Coordinate front-office activities of hotels or motels, and resolve problems."
80,Core,"Participate in financial activities such as the setting of room rates, the establishment of budgets, and the allocation of funds to departments."
79,Core,Collect payments and record data pertaining to funds and expenditures.
78,Core,Manage and maintain temporary or permanent lodging facilities.
77,Core,"Provide assistance to staff members by inspecting rooms, setting tables or doing laundry."
76,Core,Interview and hire applicants.
76,Core,Prepare required paperwork pertaining to departmental functions.
76,Core,Confer and cooperate with other managers to ensure coordination of hotel activities.
76,Core,"Assign duties to workers, and schedule shifts."
76,Core,"Receive and process advance registration payments, mail letters of confirmation, or return checks when registrations cannot be accepted."
75,Core,"Show, rent, or assign accommodations."
74,Core,"Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment."
74,Core,Develop and implement policies and procedures for the operation of a department or establishment.
69,Core,"Purchase supplies, and arrange for outside services, such as deliveries, laundry, maintenance and repair, and trash collection."
67,Core,Perform marketing and public relations activities.
72,Supplemental,Organize and coordinate the work of staff and convention personnel for meetings to be held at a particular facility.
65,Supplemental,"Meet with clients to schedule and plan details of conventions, banquets, receptions and other functions."
60,Supplemental,Book tickets for guests for local tours and attractions.
