Importance,Category,Task
94,Core,"Greet, register, and assign rooms to guests of hotels or motels."
94,Core,"Verify customers' credit, and establish how the customer will pay for the accommodation."
91,Core,Contact housekeeping or maintenance staff when guests report problems.
90,Core,Make and confirm reservations.
90,Core,Issue room keys and escort instructions to bellhops.
90,Core,"Keep records of room availability and guests' accounts, manually or using computers."
88,Core,"Perform bookkeeping activities, such as balancing accounts and conducting nightly audits."
87,Core,"Post charges, such those for rooms, food, liquor, or telephone calls, to ledgers manually or by using computers."
87,Core,"Compute bills, collect payments, and make change for guests."
84,Core,"Record guest comments or complaints, referring customers to managers as necessary."
84,Core,Review accounts and charges with guests during the check out process.
84,Core,"Transmit and receive messages, using telephones or telephone switchboards."
82,Core,Advise housekeeping staff when rooms have been vacated and are ready for cleaning.
80,Core,"Answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment."
74,Core,Deposit guests' valuables in hotel safes or safe-deposit boxes.
70,Core,"Clean and maintain lobby and common areas, such as restocking supplies and watering plants."
66,Core,"Arrange tours, taxis, or restaurant reservations for customers."
75,Supplemental,"Prepare for basic food service, such as setting up continental breakfast or coffee and tea supplies."
71,Supplemental,"Plan, schedule or supervise the work of other employees."
69,Supplemental,"Date-stamp, sort, and rack incoming mail and messages."
