Importance,Skill,Skill Description
78,Active Listening,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
75,Speaking,Talking to others to convey information effectively.
72,Reading Comprehension,Understanding written sentences and paragraphs in work related documents.
72,Critical Thinking,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems."
72,Time Management,Managing one's own time and the time of others.
69,Social Perceptiveness,Being aware of others' reactions and understanding why they react as they do.
69,Coordination,Adjusting actions in relation to others' actions.
69,Service Orientation,Actively looking for ways to help people.
63,Monitoring,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
63,Judgment and Decision Making,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
60,Persuasion,Persuading others to change their minds or behavior.
60,Negotiation,Bringing others together and trying to reconcile differences.
56,Writing,Communicating effectively in writing as appropriate for the needs of the audience.
56,Complex Problem Solving,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
56,Management of Personnel Resources,"Motivating, developing, and directing people as they work, identifying the best people for the job."
53,Active Learning,Understanding the implications of new information for both current and future problem-solving and decision-making.
53,Operations Analysis,Analyzing needs and product requirements to create a design.
53,Systems Analysis,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
47,Systems Evaluation,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
41,Management of Financial Resources,"Determining how money will be spent to get the work done, and accounting for these expenditures."
41,Management of Material Resources,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
38,Instructing,Teaching others how to do something.
35,Learning Strategies,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
31,Mathematics,Using mathematics to solve problems.
28,Operation Monitoring,"Watching gauges, dials, or other indicators to make sure a machine is working properly."
22,Operation and Control,Controlling operations of equipment or systems.
19,Technology Design,Generating or adapting equipment and technology to serve user needs.
10,Programming,Writing computer programs for various purposes.
6,Science,Using scientific rules and methods to solve problems.
3,Troubleshooting,Determining causes of operating errors and deciding what to do about it.
3,Repairing,Repairing machines or systems using the needed tools.
3,Quality Control Analysis,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
0,Equipment Selection,Determining the kind of tools and equipment needed to do a job.
0,Installation,"Installing equipment, machines, wiring, or programs to meet specifications."
0,Equipment Maintenance,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
