Importance,Category,Task
94,Core,Greet guests and seat them at tables or in waiting areas.
94,Core,Provide guests with menus.
90,Core,Assign patrons to tables suitable for their needs and according to rotation so that servers receive an appropriate number of seatings.
89,Core,"Speak with patrons to ensure satisfaction with food and service, to respond to complaints, or to make conversation."
88,Core,Answer telephone calls and respond to inquiries or transfer calls.
87,Core,"Maintain contact with kitchen staff, management, serving staff, and customers to ensure that dining details are handled properly and customers' concerns are addressed."
86,Core,Inspect dining and serving areas to ensure cleanliness and proper setup.
83,Core,Inform patrons of establishment specialties and features.
80,Core,Receive and record patrons' dining reservations.
79,Core,Inspect restrooms for cleanliness and availability of supplies and clean restrooms when necessary.
72,Core,Direct patrons to coatrooms and waiting areas such as lounges.
88,Supplemental,Take and prepare to-go orders.
87,Supplemental,Operate cash registers to accept payments for food and beverages.
84,Supplemental,Supervise and coordinate activities of dining room staff to ensure that patrons receive prompt and courteous service.
76,Supplemental,Order or requisition supplies and equipment for tables and serving stations.
73,Supplemental,Assist with preparing and serving food and beverages.
71,Supplemental,"Hire, train, and supervise food and beverage service staff."
69,Supplemental,"Prepare cash receipts after establishments close, and make bank deposits."
60,Supplemental,Prepare staff work schedules.
58,Supplemental,Confer with other staff to help plan establishments' menus.
57,Supplemental,Plan parties or other special events and services.
56,Supplemental,Perform marketing and advertising services.
