Importance,Category,Task
91,Core,"Clean, cut, and cook meat, fish, or poultry."
90,Core,"Cook foodstuffs according to menus, special dietary or nutritional restrictions, or numbers of portions to be served."
90,Core,"Clean and inspect galley equipment, kitchen appliances, and work areas to ensure cleanliness and functional operation."
90,Core,"Apportion and serve food to facility residents, employees, or patrons."
82,Core,Direct activities of one or more workers who assist in preparing and serving meals.
82,Core,"Wash pots, pans, dishes, utensils, and other cooking equipment."
80,Core,Compile and maintain records of food use and expenditures.
78,Core,Take inventory of supplies and equipment.
75,Core,"Bake breads, rolls, and other pastries."
70,Core,Train new employees.
88,Supplemental,Monitor use of government food commodities to ensure that proper procedures are followed.
74,Supplemental,Monitor menus and spending to ensure that meals are prepared economically.
71,Supplemental,"Determine meal prices, based on calculations of ingredient prices."
70,Supplemental,"Plan menus that are varied, nutritionally balanced, and appetizing, taking advantage of foods in season and local availability."
68,Supplemental,"Requisition food supplies, kitchen equipment, and appliances, based on estimates of future needs."
