Importance,Category,Task
98,Core,Collect money for drinks served.
95,Core,Check identification of customers to verify age requirements for purchase of alcohol.
93,Core,"Clean glasses, utensils, and bar equipment."
93,Core,Balance cash receipts.
92,Core,"Attempt to limit problems and liability related to customers' excessive drinking by taking steps such as persuading customers to stop drinking, or ordering taxis or other transportation for intoxicated patrons."
91,Core,"Stock bar with beer, wine, liquor, and related supplies such as ice, glassware, napkins, or straws."
90,Core,"Serve wine, and bottled or draft beer."
89,Core,Take beverage orders from serving staff or directly from patrons.
89,Core,"Clean bars, work areas, and tables."
86,Core,"Mix ingredients, such as liquor, soda, water, sugar, and bitters, to prepare cocktails and other drinks."
77,Core,Serve snacks or food items to customers seated at the bar.
75,Core,Slice and pit fruit for garnishing drinks.
69,Core,"Ask customers who become loud and obnoxious to leave, or physically remove them."
65,Core,Arrange bottles and glasses to make attractive displays.
86,Supplemental,"Plan, organize, and control the operations of a cocktail lounge or bar."
84,Supplemental,Order or requisition liquors and supplies.
77,Supplemental,Supervise the work of bar staff and other bartenders.
71,Supplemental,Plan bar menus.
70,Supplemental,"Prepare appetizers such as pickles, cheese, and cold meats."
51,Supplemental,Create drink recipes.
