Importance,Category,Task
91,Core,Check with customers to ensure that they are enjoying their meals and take action to correct any problems.
91,Core,Collect payments from customers.
90,Core,"Write patrons' food orders on order slips, memorize orders, or enter orders into computers for transmittal to kitchen staff."
89,Core,Prepare checks that itemize and total meal costs and sales taxes.
88,Core,Take orders from patrons for food or beverages.
87,Core,Check patrons' identification to ensure that they meet minimum age requirements for consumption of alcoholic beverages.
84,Core,"Serve food or beverages to patrons, and prepare or serve specialty dishes at tables as required."
82,Core,"Present menus to patrons and answer questions about menu items, making recommendations upon request."
80,Core,Clean tables or counters after patrons have finished dining.
79,Core,"Prepare hot, cold, and mixed drinks for patrons, and chill bottles of wine."
78,Core,"Roll silverware, set up food stations or set up dining areas to prepare for the next shift or for large parties."
77,Core,Inform customers of daily specials.
76,Core,"Stock service areas with supplies such as coffee, food, tableware, and linens."
76,Core,"Explain how various menu items are prepared, describing ingredients and cooking methods."
76,Core,"Prepare tables for meals, including setting up items such as linens, silverware, and glassware."
75,Core,"Remove dishes and glasses from tables or counters, take them to kitchen for cleaning."
75,Core,"Assist host or hostess by answering phones to take reservations or to-go orders, and by greeting, seating, and thanking guests."
72,Core,"Perform cleaning duties, such as sweeping and mopping floors, vacuuming carpet, tidying up server station, taking out trash, or checking and cleaning bathroom."
71,Core,"Bring wine selections to tables with appropriate glasses, and pour the wines for customers."
70,Core,"Perform food preparation duties such as preparing salads, appetizers, and cold dishes, portioning desserts, and brewing coffee."
67,Core,Escort customers to their tables.
65,Core,Garnish and decorate dishes in preparation for serving.
65,Core,"Fill salt, pepper, sugar, cream, condiment, and napkin containers."
62,Core,Describe and recommend wines to customers.
47,Supplemental,"Provide guests with information about local areas, including giving directions."
