Importance,Category,Task
94,Core,"Grill, cook, and fry foods such as french fries, eggs, and pancakes."
94,Core,"Clean food preparation equipment, work areas, and counters or tables."
94,Core,"Take orders from customers and cook foods requiring short preparation times, according to customer requirements."
93,Core,Grill and garnish hamburgers or other meats such as steaks and chops.
91,Core,"Restock kitchen supplies, rotate food, and stamp the time and date on food in coolers."
90,Core,"Perform food preparation tasks, such as making sandwiches, carving meats, making soups or salads, baking breads or desserts, and brewing coffee or tea."
90,Core,Plan work on orders so that items served together are finished at the same time.
87,Core,"Complete orders from steam tables, placing food on plates and serving customers at tables or counters."
83,Core,Perform general cleaning activities in kitchen and dining areas.
75,Supplemental,"Accept payments, and make change or write charge slips as necessary."
70,Supplemental,Order supplies and stock them on shelves.
