Importance,Category,Task
87,Core,"Carry linens, towels, toilet items, and cleaning supplies, using wheeled carts."
84,Core,"Disinfect equipment and supplies, using germicides or steam-operated sterilizers."
84,Core,"Clean rooms, hallways, lobbies, lounges, restrooms, corridors, elevators, stairways, locker rooms, and other work areas so that health standards are met."
83,Core,"Empty wastebaskets, empty and clean ashtrays, and transport other trash and waste to disposal areas."
83,Core,"Observe precautions required to protect hotel and guest property and report damage, theft, and found articles to supervisors."
81,Core,"Replenish supplies, such as drinking glasses, linens, writing supplies, and bathroom items."
79,Core,"Clean rugs, carpets, upholstered furniture, and draperies, using vacuum cleaners and shampooers."
79,Core,Dust and polish furniture and equipment.
79,Core,"Keep storage areas and carts well-stocked, clean, and tidy."
78,Core,"Wash windows, walls, ceilings, and woodwork, waxing and polishing as necessary."
77,Core,"Sweep, scrub, wax, or polish floors, using brooms, mops, or powered scrubbing and waxing machines."
71,Core,Move and arrange furniture and turn mattresses.
70,Core,Hang draperies and dust window blinds.
84,Supplemental,"Wash dishes and clean kitchens, cooking utensils, and silverware."
83,Supplemental,"Polish silver accessories and metalwork, such as fixtures and fittings."
81,Supplemental,"Sort clothing and other articles, load washing machines, and iron and fold dried items."
78,Supplemental,Request repair services and wait for repair workers to arrive.
77,Supplemental,"Sort, count, and mark clean linens and store them in linen closets."
76,Supplemental,"Prepare rooms for meetings and arrange decorations, media equipment, and furniture for social or business functions."
72,Supplemental,"Run errands, such as taking laundry to the cleaners and buying groceries."
72,Supplemental,"Remove debris from driveways, garages, and swimming pool areas."
71,Supplemental,Purchase or order groceries and household supplies to keep kitchens stocked and record expenditures.
69,Supplemental,"Deliver television sets, ironing boards, baby cribs, and rollaway beds to guests' rooms."
65,Supplemental,"Care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs."
65,Supplemental,Plan menus and cook and serve meals and refreshments following employer's instructions or own methods.
63,Supplemental,Assign duties to other staff and give instructions regarding work methods and routines.
60,Supplemental,Replace light bulbs.
44,Supplemental,Answer telephones and doorbells.
