Importance,Category,Task
89,Core,"Inspect and clean food preparation areas, such as equipment and work surfaces, or serving areas to ensure safe and sanitary food-handling practices."
88,Core,"Ensure food is stored and cooked at correct temperature by regulating temperature of ovens, broilers, grills, and roasters."
88,Core,"Ensure freshness of food and ingredients by checking for quality, keeping track of old and new items, and rotating stock."
86,Core,Turn or stir foods to ensure even cooking.
86,Core,Season and cook food according to recipes or personal judgment and experience.
85,Core,"Bake, roast, broil, and steam meats, fish, vegetables, and other foods."
85,Core,"Weigh, measure, and mix ingredients according to recipes or personal judgment, using various kitchen utensils and equipment."
85,Core,"Portion, arrange, and garnish food, and serve food to waiters or patrons."
84,Core,"Observe and test foods to determine if they have been cooked sufficiently, using methods such as tasting, smelling, or piercing them with utensils."
83,Core,"Wash, peel, cut, and seed fruits and vegetables to prepare them for consumption."
76,Core,"Carve and trim meats such as beef, veal, ham, pork, and lamb for hot or cold service, or for sandwiches."
74,Core,Substitute for or assist other cooks during emergencies or rush periods.
76,Supplemental,"Consult with supervisory staff to plan menus, taking into consideration factors such as costs and special event needs."
75,Supplemental,Keep records and accounts.
74,Supplemental,Coordinate and supervise work of kitchen staff.
72,Supplemental,Prepare relishes and hors d'oeuvres.
72,Supplemental,"Estimate expected food consumption, requisition or purchase supplies, or procure food from storage."
71,Supplemental,"Butcher and dress animals, fowl, or shellfish, or cut and bone meat prior to cooking."
71,Supplemental,Plan and price menu items.
71,Supplemental,"Bake breads, rolls, cakes, and pastries."
